timestep,residential_building_net_load,residential_building_hp_P,commercial_building_net_load,commercial_building_hp_P,residential_building_battery_P,residential_building_battery_SOC,residential_building_thermal_storage_SOC,commercial_building_battery_P,commercial_building_battery_SOC,commercial_building_thermal_storage_SOC,supply_factor,feed_in_factor
2015-08-06 00:00:00,-5.15680211740502,4.75,-4.677786924961611,4.460187297056976,15.47048568725586,0.3790568918161711,0.9960571919411185,11.36193573474884,0.1962468028960154,0.9999912900972004,38.63999999999999,8.91
2015-08-06 00:15:00,-0.3988020757648,0.0,-0.21639962995663498,0.0,14.86828327178955,0.2861301213674864,0.9954833650507993,10.994035005569458,0.10462984451626992,0.9996753250543942,38.63999999999999,8.91
2015-08-06 00:30:00,-0.39040203204258,0.0,-0.21599963064063002,0.0,15.45769214630127,0.18951954545310343,0.9948806624972459,11.838476657867432,0.005975872367374653,0.9993437754503798,38.63999999999999,8.91
2015-08-06 00:45:00,-0.38320199456638,0.0,-0.21519963200863002,0.0,15.242533683776855,0.09425370992949808,0.9942490846714832,0.7171046840849584,0.0,0.9989966414961984,38.63999999999999,8.91
2015-08-06 01:00:00,-0.37680196125420995,0.0,-0.21559963132463,0.0,14.35603141784668,0.004528513567956338,0.9935886319645305,0.0,0.0,0.9986339234028877,38.54,8.81
2015-08-06 01:15:00,-0.37200193627008,0.0,-0.21919962516864,0.0,0.7245621708730141,0.0,0.9929599599783954,0.0,0.0,0.9982883579452763,38.54,8.81
2015-08-06 01:30:00,-0.36880191961399,0.0,-0.227199611488665,0.0,0.0,0.0,0.9923630682827136,0.0,0.0,0.9979599448910883,38.54,8.81
2015-08-06 01:45:00,-0.36960192377801,0.0,-0.24059958857470504,0.0,0.0,0.0,0.9917979564471272,0.0,0.0,0.9976486840080522,38.54,8.81
2015-08-06 02:00:00,-0.37360194459811996,0.0,-0.25639956155675003,0.0,0.0,0.0,0.9912646240412841,0.0,0.0,0.9973545750638987,37.63999999999999,7.91
2015-08-06 02:15:00,-0.38080198207432,0.0,-0.27219953453879503,0.0,0.0,0.0,0.9906244301525668,0.0,0.0,0.9970027913948353,37.63999999999999,7.91
2015-08-06 02:30:00,-0.3912020362066,0.0,-0.28399951436083004,0.0,0.0,0.0,0.9898773762280579,0.0,0.0,0.9965933337818742,37.63999999999999,7.91
2015-08-06 02:45:00,-0.40280209658491,0.0,-0.289199505468845,0.0,0.0,0.0,0.9890234637148204,0.0,0.0,0.9961262030060165,37.63999999999999,7.91
2015-08-06 03:00:00,-0.41800217570132003,0.0,-0.28999950410084996,0.0,0.0,0.0,0.9880626940598977,0.0,0.0,0.9956013998482531,37.63999999999999,7.91
2015-08-06 03:15:00,-0.44120229645795,0.0,-0.288399506836845,0.0,0.0,0.0,0.9867899963302876,0.0,0.0,0.9949082443262645,37.63999999999999,7.91
2015-08-06 03:30:00,-0.480002498413,0.0,-0.28759950820484,0.0,0.0,0.0,0.9852053747500165,0.0,0.0,0.9940467387198223,37.63999999999999,7.91
2015-08-06 03:45:00,-0.54080281487865,0.0,-0.28959950478484503,0.0,0.0,0.0,0.9833088335430528,0.0,0.0,0.9930168853086673,37.63999999999999,7.91
2015-08-06 04:00:00,-0.6284032708390199,0.0,-0.296199493498865,0.0,0.0,0.0,0.9811003769333082,0.0,0.0,0.9918186863725093,37.239999999999995,7.51
2015-08-06 04:15:00,-0.7296037975877699,0.0,-0.3073994743469,0.0,0.0,0.0,0.9777135061304435,0.0,0.0,0.9899844789939866,37.239999999999995,7.51
2015-08-06 04:30:00,-0.8304043222545,0.0,-0.32559944322495,0.0,0.0,0.0,0.9731482370921511,0.0,0.0,0.9875142717857138,37.239999999999995,7.51
2015-08-06 04:45:00,-0.91760477613286,0.0,-0.35079940013302496,0.0,0.0,0.0,0.967404585775907,0.0,0.0,0.9844080733601883,37.239999999999995,7.51
2015-08-06 05:00:00,-0.97960509884454,0.0,-0.38519934130912503,0.0,0.0,0.0,0.9604825681389711,0.0,0.0,0.9806658923297915,38.129999999999995,8.4
2015-08-06 05:15:00,-1.02000530912763,0.0,-0.4305992636752601,0.0,0.0,0.0,0.9526046025786973,0.0,0.0,0.976407771374028,38.129999999999995,8.4
2015-08-06 05:30:00,-1.04720545070437,0.0,-0.48819916517943,0.0,0.0,0.0,0.9437707020402134,0.0,0.0,0.9716337174795844,38.129999999999995,8.4
2015-08-06 05:45:00,-1.0692055652149701,0.0,-0.55819904547963,0.0,0.0,0.0,0.9339808794684724,0.0,0.0,0.9663437376330524,38.129999999999995,8.4
2015-08-06 06:00:00,-1.09320569013562,0.0,-0.63319891722985,0.0,0.0,0.0,0.9232351478082519,0.0,0.0,0.9605378388209294,41.28,7.51
2015-08-06 06:15:00,-1.11600580881023,0.0,-0.702398798898055,0.0,0.0,0.0,0.9128188328085413,0.0,0.0,0.9549097314052281,41.28,7.51
2015-08-06 06:30:00,-1.13600591291078,0.0,-0.757198705190215,0.0,0.0,0.0,0.9027319300084897,0.0,0.0,0.949459412978357,41.28,7.51
2015-08-06 06:45:00,-0.14390018603861066,0.0,-0.03661930554143533,0.0,0.0,0.0,0.8929744349473071,0.0,0.0,0.9441868811327566,41.28,7.51
2015-08-06 07:00:00,-0.26252528343791515,0.0,-0.13758808732587646,0.0,0.0,0.0,0.8835463431642636,0.0,0.0,0.9390921334609004,40.629999999999995,6.86
2015-08-06 07:15:00,0.08178310673352862,0.0,0.11384320033462914,0.0,0.0,0.0,0.874698936072806,0.0,0.0,0.9343107904624361,40.629999999999995,6.86
2015-08-06 07:30:00,0.8127957025398196,0.0,0.6550026157656771,0.0,0.0,0.0,0.8664322058094959,0.0,0.0,0.9298428478933422,40.629999999999995,6.86
2015-08-06 07:45:00,1.7307453069165117,0.0,1.3320647763069435,0.0,0.0,0.0,0.8587461445110011,0.0,0.0,0.9256883015096543,40.629999999999995,6.86
2015-08-06 08:00:00,2.3544527246791715,0.0,1.7856453016756837,0.0,0.0,0.0,0.8516407443140961,0.0,0.0,0.921847147067466,40.519999999999996,6.75
2015-08-06 08:15:00,2.701347372099246,0.0,2.031016258611502,0.0,0.0,0.0,0.8446076489206682,0.0,0.0,0.9180450167406641,40.519999999999996,6.75
2015-08-06 08:30:00,3.4431880987766954,0.0,2.5733967860694067,0.0,0.0,0.0,0.83764685735159,0.0,0.0,0.914281910000797,40.519999999999996,6.75
