timestep,reward,baseline_cost,agent_cost,residential_building_battery_P,residential_building_pv_P,residential_building_electrical_load_P,residential_building_battery_SOC
2015-03-15 16:00:00,0.0,-0.08094842133653311,-0.08094842133653311,0.0,0.0,1.15640601909333,0.0
2015-03-15 16:15:00,0.0,-0.08173242541727412,-0.08173242541727412,0.0,0.0,1.1676060773896302,0.0
2015-03-15 16:30:00,0.0,-0.0836364353276459,-0.0836364353276459,0.0,0.0,1.19480621896637,0.0
2015-03-15 16:45:00,0.0,-0.08702445296227761,-0.08702445296227761,0.0,0.0,1.24320647088968,0.0
2015-03-15 17:00:00,0.0,-0.09186847817542922,-0.09186847817542922,0.0,0.0,1.31240683107756,0.0
2015-03-15 17:15:00,0.0,-0.09797250994691441,-0.09797250994691441,0.0,0.0,1.39960728495592,0.0
2015-03-15 17:30:00,0.0,-0.10500054652784481,-0.10500054652784481,0.0,0.0,1.50000780754064,0.0
2015-03-15 17:45:00,0.0,-0.11270058660655341,-0.11270058660655341,0.0,0.0,1.61000838009362,0.0
2015-03-15 18:00:00,0.0,-0.12068062814266971,-0.12068062814266971,0.0,0.0,1.72400897346671,0.0
2015-03-15 18:15:00,0.0,-0.1284366685128597,-0.1284366685128597,0.0,0.0,1.83480955018371,0.0
2015-03-15 18:30:00,2.7755575615628914e-17,-0.13557670567675295,-0.13557670567675292,0.0,0.0,1.9368100810964701,0.0
2015-03-15 18:45:00,0.0,-0.14168073744823811,-0.14168073744823811,0.0,0.0,2.02401053497483,0.0
2015-03-15 19:00:00,0.0,-0.1462727613497227,-0.1462727613497227,0.0,0.0,2.0896108764246097,0.0
2015-03-15 19:15:00,0.0,-0.14904477577805758,-0.14904477577805758,0.0,0.0,2.1292110825436796,0.0
2015-03-15 19:30:00,0.0,-0.149604778692873,-0.149604778692873,0.0,0.0,2.1372111241839,0.0
2015-03-15 19:45:00,0.0,-0.14761676834527912,-0.14761676834527912,0.0,0.0,2.1088109763611302,0.0
2015-03-15 20:00:00,0.0,-0.1431087448810173,-0.1431087448810173,0.0,0.0,2.04441064115739,0.0
2015-03-15 20:15:00,0.0,-0.13675271179786513,-0.13675271179786513,0.0,0.0,1.9536101685409302,0.0
2015-03-15 20:30:00,0.0,-0.1298086756541568,-0.1298086756541568,0.0,0.0,1.85440965220224,0.0
2015-03-15 20:45:00,0.0,-0.1232286414050783,-0.1232286414050783,0.0,0.0,1.7604091629296899,0.0
2015-03-15 21:00:00,-1.3877787807814457e-17,-0.1179086137143341,-0.11790861371433412,0.0,0.0,1.68440876734763,0.0
2015-03-15 21:15:00,1.3877787807814457e-17,-0.11356859112451653,-0.11356859112451652,0.0,0.0,1.6224084446359501,0.0
2015-03-15 21:30:00,1.3877787807814457e-17,-0.10959257042932942,-0.1095925704293294,0.0,0.0,1.56560814899042,0.0
2015-03-15 21:45:00,0.0,-0.10547654900543739,-0.10547654900543739,0.0,0.0,1.5068078429348197,0.0
2015-03-15 22:00:00,0.0,-0.10074452437524932,-0.10074452437524932,0.0,0.0,1.4392074910749901,0.0
2015-03-15 22:15:00,0.0,-0.09542449668450512,-0.09542449668450512,0.0,0.0,1.36320709549293,0.0
2015-03-15 22:30:00,0.0,-0.08971246695339041,-0.08971246695339041,0.0,0.0,1.28160667076272,0.0
2015-03-15 22:45:00,0.0,-0.08372043576486801,-0.08372043576486801,0.0,0.0,1.1960062252124,0.0
2015-03-15 23:00:00,0.0,-0.07761640399338281,-0.07761640399338281,0.0,0.0,1.10880577133404,0.0
2015-03-15 23:15:00,0.0,-0.07142837178467482,-0.07142837178467482,0.0,0.0,1.02040531120964,0.0
2015-03-15 23:30:00,0.0,-0.0653243400131896,-0.0653243400131896,0.0,0.0,0.9332048573312799,0.0
2015-03-15 23:45:00,0.0,-0.05930430867892651,-0.05930430867892651,0.0,0.0,0.8472044096989501,0.0
2015-03-16 00:00:00,0.0,-0.05336827778188621,-0.05336827778188621,0.0,0.0,0.76240396831266,0.0
2015-03-16 00:15:00,0.0,-0.04799224979965991,-0.04799224979965991,0.0,0.0,0.68560356856657,0.0
2015-03-16 00:30:00,0.0,-0.043344225606694604,-0.043344225606694604,0.0,0.0,0.61920322295278,0.0
2015-03-16 00:45:00,0.0,-0.03939620505724751,-0.03939620505724751,0.0,0.0,0.56280292938925,0.0
2015-03-16 01:00:00,0.0,-0.036456189754467704,-0.036456189754467704,0.0,0.0,0.52080271077811,0.0
2015-03-16 01:15:00,0.0,-0.034412179115392405,-0.034412179115392405,0.0,0.0,0.49160255879132003,0.0
2015-03-16 01:30:00,0.0,-0.033068172119836,-0.033068172119836,0.0,0.0,0.47240245885480003,0.0
2015-03-16 01:45:00,0.0,-0.03220016760187221,-0.03220016760187221,0.0,0.0,0.46000239431246004,0.0
2015-03-16 02:00:00,0.0,-0.0316401646870575,-0.0316401646870575,0.0,0.0,0.4520023526722499,0.0
2015-03-16 02:15:00,0.0,-0.0312481626466863,-0.0312481626466863,0.0,0.0,0.44640232352409,0.0
2015-03-16 02:30:00,3.469446951953614e-18,-0.031108161917982807,-0.031108161917982803,0.0,0.0,0.44440231311404,0.0
2015-03-16 02:45:00,0.0,-0.0308561606063158,-0.0308561606063158,0.0,0.0,0.44080229437594,0.0
2015-03-16 03:00:00,0.0,-0.030632159440390203,-0.030632159440390203,0.0,0.0,0.43760227771986,0.0
2015-03-16 03:15:00,0.0,-0.030464158565945303,-0.030464158565945303,0.0,0.0,0.43520226522779,0.0
2015-03-16 03:30:00,0.0,-0.030240157400019004,-0.030240157400019004,0.0,0.0,0.4320022485717,0.0
